title,review,price,rating_value,link
The Greatness Mindset: Unlock the Power of Your Mind and Live Your Best Life Today,84,16,4.9,./index_files/71G2ktlRotL._AC_UY218_.jpg
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,"102,446",0,4.6,./index_files/81A5jQHA+lL._AC_UY218_.jpg
Can't Hurt Me: Master Your Mind and Defy the Odds,"70,998",0,4.8,./index_files/81gByv+FhjL._AC_UY218_.jpg
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,"11,777",22,4.8,./index_files/71AHFDEpkdL._AC_UY218_.jpg
Think and Grow Rich: 1937 Edition,"88,390",0,4.7,./index_files/810+SBbizeL._AC_UY218_.jpg
"The Tools: Transform Your Problems into Courage, Confidence, and Creativity","1,992",0,4.5,./index_files/71s6xuAn8bL._AC_UY218_.jpg
Enchantment: Awakening Wonder in an Anxious Age,36,0,4.5,./index_files/A11LO-VIJEL._AC_UY218_.jpg
"Badass Affirmations: The Wit and Wisdom of Wild Women (Inspirational Quotes for Women, Book Gift for Women, Powerful Affirmations)","7,010",9,4.6,./index_files/61bIx1-VWRL._AC_UY218_.jpg
Breaking the Habit of Being Yourself,"13,357",0,4.7,./index_files/813jgyI5ypL._AC_UY218_.jpg
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,"33,052",11,4.7,./index_files/41zRcZ6E-gL._AC_UY218_.jpg
The Power of Positive Thinking,"16,751",9,4.6,./index_files/612r0oxHHUL._AC_UY218_.jpg
The Artist's Way: 30th Anniversary Edition,"7,081",14,4.7,./index_files/81MHEbRag6L._AC_UY218_.jpg
Allen Carr's Easy Way To Stop Smoking,"6,276",12,4.5,./index_files/81f-8cAVjyL._AC_UY218_.jpg
Never Finished: Unshackle Your Mind and Win the War Within,"4,575",0,4.8,./index_files/81hwru1zPNL._AC_UY218_.jpg
The Answer to Anxiety: How to Break Free from the Tyranny of Anxious Thoughts and Worry,110,0,4.8,./index_files/81HcEWnrGLL._AC_UY218_.jpg
"The Gifts of Imperfection, 10th Anniversary Edition: Features a New Foreword","32,193",0,4.7,./index_files/71ToC7o-csL._AC_UY218_.jpg
You Are a Badass at Making Money: Master the Mindset of Wealth,"6,640",0,4.7,./index_files/818gx5irrXL._AC_UY218_.jpg
The Tibetan Book of Living and Dying: The Spiritual Classic & International Bestseller: 25th Anniversary Edition,"2,752",13,4.7,./index_files/81J4O-G8FTL._AC_UY218_.jpg
"The Everyday Warrior: A No-Hack, Practical Approach to Life",29,14,4.8,./index_files/61RiGL9GQRL._AC_UY218_.jpg
Think Like a Monk: Train Your Mind for Peace and Purpose Every Day,"32,233",0,4.8,./index_files/81Gx2FkCMnL._AC_UY218_.jpg
More Than a Little,353,12,4.8,./index_files/710QjJTlowS._AC_UY218_.jpg
The Official Walt Disney Quote Book: Over 300 Quotes with Newly Researched and Assembled Material by the Staff of the Walt Disney Archives (Disney Editions Deluxe),7,21,4.5,./index_files/81I99keNToL._AC_UY218_.jpg
Who Moved My Cheese?: An A-Mazing Way to Deal with Change in Your Work and in Your Life,"21,410",0,4.6,./index_files/814-J6OB6qL._AC_UY218_.jpg
"El poder de creer en ti: 9 pasos para aumentar tu autoestima, vencer tus miedos y aprender a quererte (Tu mejor versión) (Spanish Edition)",736,12,4.8,./index_files/61StowH441L._AC_UY218_.jpg
EL PODER DEL PENSAMIENTO POSITIVO: La importancia del impacto que tienen los pensamientos en nuestra vida (Spanish Edition),"1,104",8,4.3,./index_files/61G3xlqtTmL._AC_UY218_.jpg
"The Blue Zones, Second Edition: 9 Lessons for Living Longer From the People Who've Lived the Longest","2,746",8,4.6,./index_files/81MbgACa6ZL._AC_UY218_.jpg
"Speak: Find Your Voice, Trust Your Gut, and Get from Where You Are to Where You Want to Be","1,083",0,4.8,./index_files/91VBN-oR3fL._AC_UY218_.jpg
There's A Hole In My Love Cup: The Badass Counseling® Method For Healing The Soul And Unleashing Greatness,863,14,4.7,./index_files/61OT0QA0XZL._AC_UY218_.jpg
The Monk Who Sold His Ferrari: A Spiritual Fable About Fulfilling Your Dreams & Reaching Your Destiny,"12,088",0,4.7,./index_files/91QMNgp67ZL._AC_UY218_.jpg
Holy Moments: A Handbook for the Rest of Your Life,113,0,4.8,./index_files/71mBnPqfoDL._AC_UY218_.jpg
"Influence: The Psychology of Persuasion, Revised Edition","11,133",23,4.6,./index_files/51iBoErM2iL._AC_UY218_.jpg
The Universe Has Your Back: Transform Fear into Faith,"8,382",0,4.7,./index_files/81QsUShsmdS._AC_UY218_.jpg
Undistracted: Capture Your Purpose. Rediscover Your Joy.,"1,425",0,4.8,./index_files/71IAo2UlLML._AC_UY218_.jpg
"We Should All Be Millionaires: A Woman’s Guide to Earning More, Building Wealth, and Gaining Economic Power","2,242",0,4.8,./index_files/81Mgxk2hbBS._AC_UY218_.jpg
"100 Deadly Skills: COMBAT EDITION: A Navy SEAL's Guide to Crushing Your Enemy, Fighting for Your Life, and Embracing Your Inner Badass","2,045",22,4.8,./index_files/81oQRg9DihL._AC_UY218_.jpg
The New One Minute Manager,"3,706",0,4.6,./index_files/81zJwILN2ML._AC_UY218_.jpg
Love After Heartbreak: Volume I,"3,415",0,4.6,./index_files/91YiJqSkrvS._AC_UY218_.jpg
"Dear Body: What I Lost, What I Gained, and What I Learned Along the Way",82,0,4.8,./index_files/81fPOccrPrL._AC_UY218_.jpg
Your Greatest Power,163,12,4.6,./index_files/51P7G4M69uL._AC_UY218_.jpg
"Live in Grace, Walk in Love: A 365-Day Journey","4,955",14,4.8,./index_files/71CbPcZQV9L._AC_UY218_.jpg
52 Modern Manners for Today's Teens (2),154,22,5.0,./index_files/41Mg4h2zG3L._AC_UY218_.jpg
The Comfort Book,"2,355",0,4.6,./index_files/71DulgiNX8S._AC_UY218_.jpg
Everything Is F*cked: A Book About Hope,"9,888",0,4.6,./index_files/71ZUBHvgsdL._AC_UY218_.jpg
"Dopamine Detox: A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things (Productivity Series, Book 1)","3,834",0,4.3,./index_files/71QAQc29WbL._AC_UY218_.jpg
Homecoming: Reclaiming and Championing Your Inner Child,"2,309",15,4.6,./index_files/81IqV4UhDkL._AC_UY218_.jpg
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers","9,134",0,4.7,./index_files/710FF4JrjsL._AC_UY218_.jpg
The Four Agreements Companion Book: Using the Four Agreements to Master the Dream of Your Life (Toltec Wisdom),"1,912",12,4.8,./index_files/81h61LDlH7L._AC_UY218_.jpg
The Law of Attraction: The Basics of the Teachings of Abraham,"5,792",0,4.7,./index_files/81uElUSymFL._AC_UY218_.jpg
WHO MOVED MY CHEESE S.S.,645,11,4.8,./index_files/6105tf1VC-S._AC_UY218_.jpg
"The Empowered Wife, Updated and Expanded Edition: Six Surprising Secrets for Attracting Your Husband's Time, Attention, and Affection","1,598",17,4.6,./index_files/81-fGi7HMdL._AC_UY218_.jpg
The Journey: Big Panda and Tiny Dragon,279,14,4.8,./index_files/61BDXrtYBkL._AC_UY218_.jpg
Closer to Love: How to Attract the Right Relationships and Deepen Your Connections,24,0,4.8,./index_files/61Orom51RnL._AC_UY218_.jpg
When Women Pray: 10 Women of the Bible Who Changed the World Through Prayer,"9,459",0,4.9,./index_files/818dLNHAvyL._AC_UY218_.jpg
Finding Muchness: How to Add More Life to Life,485,12,4.9,./index_files/81MrIGHE1LS._AC_UY218_.jpg
Made to Stick: Why Some Ideas Survive and Others Die,"4,060",0,4.6,./index_files/81QsTfiyPBL._AC_UY218_.jpg
Jonah: Navigating a Life Interrupted (Bible Study Book),"1,455",11,4.8,./index_files/81GekU7Al6L._AC_UY218_.jpg
"The Honest Mom Journal: The struggling moms guide to struggling less. A daily guided journal for moms facing mental health struggles, depression & ... A journal, diary, for stressed out mothers.",91,17,4.7,./index_files/51+7Np8m1xL._AC_UY218_.jpg
The Little Book Of Daily Sunshine: Bite-Sized Inspiration To Light Up Your Day,306,7,4.6,./index_files/41Rz7rHzEIL._AC_UY218_.jpg
Motivational Swear Word Coloring Book For Adult: Inspirational Color Pages for Stress Relief and Relaxation | You Funking Got This Coloring pages | ... Man and Women for Gift Birthday and Christmas,361,6,4.5,./index_files/71xzmjtAuRL._AC_UY218_.jpg
QBQ! The Question Behind the Question: Practicing Personal Accountability at Work and in Life,"2,973",0,4.6,./index_files/81CHrtXHOOL._AC_UY218_.jpg
Welcome Home: A Guide to Building a Home for Your Soul,"2,396",0,4.8,./index_files/71ZI4NROZUS._AC_UY218_.jpg
"Gratitude Journal for Men: A Daily 5 Minute Guide for Mindfulness, Positivity, Leadership and Self Care (Premium Keepsake Edition)",263,14,4.6,./index_files/81-0Vl8KFkL._AC_UY218_.jpg
"Gratitude Journal for Women: A Daily 5 Minute Guide for Mindfulness, Positivity, Affirmation and Self Care (Premium Keepsake Edition)","1,820",11,4.7,./index_files/91n6YCbf7ZL._AC_UY218_.jpg
How Full Is Your Bucket? For Kids,"2,630",9,4.8,./index_files/817AtIaaFfL._AC_UY218_.jpg
Mirror Work: 21 Days to Heal Your Life,"2,213",13,4.8,./index_files/71Bfex29rdL._AC_UY218_.jpg
The 7 Habits of Highly Effective Teens Workbook,"1,762",5,4.6,./index_files/81WtpqqvqDL._AC_UY218_.jpg
"Good Morning, Holy Spirit","3,632",0,4.9,./index_files/91wZagF6oTL._AC_UY218_.jpg
Single on Purpose: Redefine Everything. Find Yourself First.,"1,988",0,4.7,./index_files/81ESSYU3GJL._AC_UY218_.jpg
How Will You Measure Your Life?,"4,401",0,4.6,./index_files/81PPmJXIaZL._AC_UY218_.jpg
The Power,"9,586",0,4.8,./index_files/91HfeEV+8cL._AC_UY218_.jpg
Loving People Who Are Hard to Love: Transforming Your World by Learning to Love Unconditionally,328,0,4.8,./index_files/81CkX0z4L2L._AC_UY218_.jpg
"Inspirational Coloring Book For Adults: 50 Motivational Quotes For Good Vibes, Positive Affirmations and Stress Relaxation","1,053",5,4.6,./index_files/71K5y1JgZ2L._AC_UY218_.jpg
Manifest: 7 Steps to Living Your Best Life,"2,291",0,4.7,./index_files/71wYqp7mt2L._AC_UY218_.jpg
"A F*cking 2023 Wall Calendar: Get Your Sh*t Together This Year (Funny Monthly Calendar with Stickers, White Elephant Gag Gift for Adults) (Calendars & Gifts to Swear By)","5,063",12,4.9,./index_files/612kdiv3q6L._AC_UY218_.jpg
"Inteligencia Emocional: 4 Libros en 1: La Guía Completa Para Aprender Autodisciplina, Inteligencia Emocional, Psicología Oscura y Manipulación. Domina ... Las Creencias Negativas. (Spanish Edition)","1,648",26,5.0,./index_files/61dQGDw1-aL._AC_UY218_.jpg
My What If Year: A Memoir,71,0,4.5,./index_files/714idFAS+-L._AC_UY218_.jpg
"CSB Apologetics Study Bible, Gray Hardcover, Black Letter, Black Letter, Defend Your Faith, Study Notes and Commentary, Articles, Profiles, Full-Color Maps, Easy-to-Read Bible Serif Type",845,21,4.8,./index_files/61q9tep6+PL._AC_UY218_.jpg
The Game of Life and How to Play It,"1,596",0,4.8,./index_files/81OcygCqjSL._AC_UY218_.jpg
In My Feels: How to Feel God When I'm Not Feeling It,13,18,4.6,./index_files/81RFMyoauSL._AC_UY218_.jpg
"Set Boundaries, Find Peace: A Guide to Reclaiming Yourself","7,977",0,4.8,./index_files/71rDJ+DfErL._AC_UY218_.jpg
The Power to Change: Mastering the Habits That Matter Most,95,0,4.9,./index_files/71pkwEy-dHL._AC_UY218_.jpg
"Forgiving What You Can't Forget: Discover How to Move On, Make Peace with Painful Memories, and Create a Life That's Beautiful Again","20,736",0,4.8,./index_files/81P7MVh9BoL._AC_UY218_.jpg
The Book of Awakening: Having the Life You Want by Being Present to the Life You Have (20th Anniversary Edition),"4,162",16,4.7,./index_files/818igfZwq2L._AC_UY218_.jpg
The Power of Discipline: How to Use Self Control and Mental Toughness to Achieve Your Goals,"3,254",17,4.6,./index_files/6171C0fKEbL._AC_UY218_.jpg
Discipline Is Destiny: The Power of Self-Control,"1,195",0,4.7,./index_files/91FHt4WfM5L._AC_UY218_.jpg
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,"17,569",0,4.7,./index_files/715xKDPitYL._AC_UY218_.jpg
Get Out of Your Head: Stopping the Spiral of Toxic Thoughts,"22,012",0,4.7,./index_files/81hIZ20nZSL._AC_UY218_.jpg
"The Urgent Life: My Story of Love, Loss, and Survival",128,0,4.7,./index_files/81zzc4dch9L._AC_UY218_.jpg
The Secret,"40,513",0,4.6,./index_files/919kng-fN1L._AC_UY218_.jpg
Heal. Grow. Love: Words to Help You Become,838,13,4.8,./index_files/51CkR8row+L._AC_UY218_.jpg
Relentless: From Good to Great to Unstoppable,"9,791",0,4.7,./index_files/81FYEl7jvkL._AC_UY218_.jpg
Grit: The Power of Passion and Perseverance,"14,458",0,4.6,./index_files/81HofIG4iiL._AC_UY218_.jpg
You Are a Badass®: How to Stop Doubting Your Greatness and Start Living an Awesome Life,"37,682",0,4.7,./index_files/81KUJ56sW3L._AC_UY218_.jpg
The Laws of Human Nature,"11,434",0,4.8,./index_files/71eXzhnrpbL._AC_UY218_.jpg
The Power of One More: The Ultimate Guide to Happiness and Success,"4,142",0,4.8,./index_files/71E9ZnyRCoL._AC_UY218_.jpg
You Can Heal Your Life,"13,352",8,4.7,./index_files/81-fxaNGDML._AC_UY218_.jpg
As a man Thinketh: The Original 1902 Edition (The Wisdom Of James Allen),"5,138",5,4.7,./index_files/51SPDo1hgnS._AC_UY218_.jpg
The Magic of Thinking Big,"13,534",0,4.8,./index_files/71tC2jMg-vL._AC_UY218_.jpg
The Sadness Book - A Journal To Let Go,974,13,4.7,./index_files/41EayHwSuiL._AC_UY218_.jpg
Burn After Writing (Pink),"83,350",7,4.6,./index_files/913xSIVD4BL._AC_UY218_.jpg
Glass Hearts and Broken Promises,147,14,4.8,./index_files/61eyAnjjjRL._AC_UY218_.jpg
Getting to Neutral: How to Conquer Negativity and Thrive in a Chaotic World,165,0,4.7,./index_files/71rMsjDV0eL._AC_UY218_.jpg
The 7 Habits of Highly Effective Teens,"12,578",9,4.6,./index_files/71oOAa+N3GL._AC_UY218_.jpg
